0.8;1;0.9;pk:ID;:LABEL
1461509473.0;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;8.591508120788149e+18;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;PyVertex
;ufirtsinqoesrkpdearhawoksgwocilqzwrbgguxcavxdziehr;7.554589448319673e+18;ufirtsinqoesrkpdearhawoksgwocilqzwrbgguxcavxdziehr;PyVertex
826955152.0;whborupujbmgwakahepdnvsgrvhhfdqvpzsravpivyoadpgwhg;5.96755714415732e+18;whborupujbmgwakahepdnvsgrvhhfdqvpzsravpivyoadpgwhg;PyVertex
1792477048.0;hiwazlezlnjupmpqxitvsakxxsbvayyffmzlvitzwugakjzalh;5.308162937220445e+18;hiwazlezlnjupmpqxitvsakxxsbvayyffmzlvitzwugakjzalh;PyVertex
485560758.0;jqmzhlicnaupwqxahzewwvzzanolppxtnwbmhsqbldjwsivtlg;6.42630581124614e+18;jqmzhlicnaupwqxahzewwvzzanolppxtnwbmhsqbldjwsivtlg;PyVertex
1664455158.0;gaawzylvcaaubdjrurvwghlpbilleyqnbuxuelghzduyhrohno;1.183015293870783e+18;gaawzylvcaaubdjrurvwghlpbilleyqnbuxuelghzduyhrohno;PyVertex
81216017.0;fstgyxduxxglazsebaglspcajdsjtlpcfbtvrwljgrshvkxnpj;8.149556997984962e+18;fstgyxduxxglazsebaglspcajdsjtlpcfbtvrwljgrshvkxnpj;PyVertex
1667266656.0;rsgraztamxkzhaadiecksvlibbnwlnnujyeaazxmaeyuazomwc;;rsgraztamxkzhaadiecksvlibbnwlnnujyeaazxmaeyuazomwc;PyVertex
1564711487.0;kmwlllrfxnvwsmmuzamexaqicbmknsqugtugmhkllallbnzlcv;;kmwlllrfxnvwsmmuzamexaqicbmknsqugtugmhkllallbnzlcv;PyVertex
;rarmacdeithxnaqopoxasraitswjkynhrtymbgxannwafilycz;7.814471471838692e+18;rarmacdeithxnaqopoxasraitswjkynhrtymbgxannwafilycz;PyVertex
835465771.0;esinoqfvcpoaeajeruarkfavnciqoqjgeaaogvijjvvjzggtoi;4.4721709325389266e+18;esinoqfvcpoaeajeruarkfavnciqoqjgeaaogvijjvvjzggtoi;PyVertex
1144108525.0;uhgzomxpdfhbgkdkuwdhnvxeettxzeonkfgtjmwcgytuualpgw;9.192707372122738e+18;uhgzomxpdfhbgkdkuwdhnvxeettxzeonkfgtjmwcgytuualpgw;PyVertex
1979895843.0;paytsjtpgfttwyxbzizflacgganieojumxovrimovkadsfwtpa;4.71054613421904e+18;paytsjtpgfttwyxbzizflacgganieojumxovrimovkadsfwtpa;PyVertex
727055609.0;qyvohfejxaiijopazkbgcfdtpeadzvkjrysaqbqmgscmpyikwg;7.362404697314025e+18;qyvohfejxaiijopazkbgcfdtpeadzvkjrysaqbqmgscmpyikwg;PyVertex
787477643.0;aldbmehukqzhjdcyajpgosolbuphaaczevfuerpkjtthebkvwq;8.451742156760634e+17;aldbmehukqzhjdcyajpgosolbuphaaczevfuerpkjtthebkvwq;PyVertex
1568070873.0;tghvaesjvgsytlzoqgridlnqwndlonfvdisyydeygqnypqhsne;;tghvaesjvgsytlzoqgridlnqwndlonfvdisyydeygqnypqhsne;PyVertex
1665373313.0;rbgqveprlpyfggexjmoacikamegyilpeicaleaqoaiidymtohj;5.54332480931326e+18;rbgqveprlpyfggexjmoacikamegyilpeicaleaqoaiidymtohj;PyVertex
1366748028.0;asijamsoctcqznvgrtzgkfairuxnilxlkvzxrnogrlujtejiql;1.3857423689214034e+18;asijamsoctcqznvgrtzgkfairuxnilxlkvzxrnogrlujtejiql;PyVertex
1252439543.0;xatonhijanuwrgorrhnvenopszvndsotnipvtapbgfwtpijbli;2.923762969162693e+18;xatonhijanuwrgorrhnvenopszvndsotnipvtapbgfwtpijbli;PyVertex
